Date,Open,High,Low,Close,Volume,transactions
2017-07-14 04:00:00,138.04,140.05,137.89,139.92,1164712.0,6780
2017-07-17 04:00:00,140.42,140.79,139.1,140.22,870023.0,7172
2017-07-18 04:00:00,141.28,143.38,141.13,143.25,1252232.0,10977
2017-07-19 04:00:00,148.62,150.8199,147.9601,150.63,2528756.0,18338
2017-07-20 04:00:00,152.24,154.35,151.36,153.82,2971549.0,15631
2017-07-21 04:00:00,153.09,154.35,152.65,154.29,938449.0,7637
2017-07-24 04:00:00,153.88,154.5,153.06,153.74,1272858.0,6806
2017-07-25 04:00:00,154.35,154.38,152.56,152.73,974605.0,7087
2017-07-26 04:00:00,153.0,154.7,152.91,154.53,768752.0,7173
2017-07-27 04:00:00,154.9,155.73,151.48,153.24,1019396.0,9009
2017-07-28 04:00:00,151.7,152.88,151.65,152.53,539053.0,4865
2017-07-31 04:00:00,151.74,152.3411,149.91,150.33,874730.0,8748
2017-08-01 04:00:00,151.95,152.1,150.57,150.92,391582.0,4021
2017-08-02 04:00:00,152.57,152.89,150.31,151.02,855206.0,7749
2017-08-03 04:00:00,152.66,152.83,151.4599,152.17,924664.0,7314
2017-08-04 04:00:00,152.61,153.06,151.95,152.94,491180.0,4596
2017-08-07 04:00:00,153.35,154.66,153.34,154.42,476133.0,4614
2017-08-08 04:00:00,154.48,155.1993,152.91,153.13,491419.0,5053
2017-08-09 04:00:00,152.66,153.73,152.35,153.56,547136.0,3570
2017-08-10 04:00:00,152.46,152.5,150.09,150.18,844821.0,8127
2017-08-11 04:00:00,149.39,151.34,148.95,151.19,416941.0,4423
2017-08-14 04:00:00,150.86,153.3,150.84,152.61,552581.0,5683
2017-08-15 04:00:00,151.45,152.63,151.34,152.46,376849.0,3373
2017-08-16 04:00:00,152.2,154.13,152.04,153.67,518955.0,5362
2017-08-17 04:00:00,152.86,153.185,150.6,150.65,485999.0,5405
2017-08-18 04:00:00,152.0,152.61,150.98,152.26,688797.0,6180
2017-08-21 04:00:00,152.16,152.2997,150.94,151.59,562571.0,4477
2017-08-22 04:00:00,151.9,154.81,151.87,154.37,839074.0,8107
2017-08-23 04:00:00,153.9,154.2,153.13,153.4,532284.0,4348
2017-08-24 04:00:00,153.29,153.8956,152.71,153.45,400185.0,3879
2017-08-25 04:00:00,153.74,154.8,153.55,154.22,535322.0,3509
2017-08-28 04:00:00,153.67,154.36,153.39,154.12,261439.0,3373
2017-08-29 04:00:00,153.63,155.525,153.5,155.15,575519.0,3623
2017-08-30 04:00:00,153.84,155.3,153.42,154.81,834155.0,7042
2017-08-31 04:00:00,154.92,156.67,154.59,156.31,787636.0,5774
2017-09-01 04:00:00,157.16,157.57,156.38,157.28,739695.0,3993
2017-09-05 04:00:00,155.91,156.46,153.465,154.81,493383.0,5558
2017-09-06 04:00:00,156.31,157.28,155.88,156.48,496424.0,5738
2017-09-07 04:00:00,159.01,160.94,158.32,160.86,1027833.0,7565
2017-09-08 04:00:00,160.25,161.1,159.09,159.72,659432.0,6630
2017-09-11 04:00:00,161.11,162.88,160.94,162.78,698228.0,6459
2017-09-12 04:00:00,161.87,162.1,160.8553,161.35,439352.0,5339
2017-09-13 04:00:00,160.6,161.0,160.0,160.07,613937.0,5292
2017-09-14 04:00:00,160.7,161.89,160.29,161.43,525541.0,6527
2017-09-15 04:00:00,163.04,163.13,162.15,162.41,632294.0,4624
2017-09-18 04:00:00,164.81,167.21,164.67,166.99,1293984.0,8965
2017-09-19 04:00:00,168.64,168.69,167.67,168.29,992848.0,8906
2017-09-20 04:00:00,167.92,168.0,163.734,165.19,990565.0,9150
2017-09-21 04:00:00,165.53,166.1,164.17,165.77,1066002.0,6099
2017-09-22 04:00:00,165.2,166.45,165.08,165.96,303614.0,3347
2017-09-25 04:00:00,164.88,165.19,161.15,162.01,849425.0,7090
2017-09-26 04:00:00,161.68,162.92,160.95,162.86,1180758.0,9301
2017-09-27 04:00:00,163.2,167.9,163.07,166.94,1253877.0,10599
2017-09-28 04:00:00,168.27,171.0,168.14,170.49,1477730.0,13743
2017-09-29 04:00:00,170.1,171.53,169.62,171.2,1677090.0,8213
2017-10-02 04:00:00,170.39,171.76,169.78,170.7,585737.0,5773
2017-10-03 04:00:00,170.46,170.63,169.56,170.46,454400.0,5086
2017-10-04 04:00:00,169.97,171.43,169.52,171.19,861199.0,5027
2017-10-05 04:00:00,169.55,169.82,167.86,168.52,422380.0,4538
2017-10-06 04:00:00,168.0,170.915,167.7,169.44,1224152.0,6988
2017-10-09 04:00:00,169.46,170.65,169.3,170.14,352911.0,3624
2017-10-10 04:00:00,170.27,171.18,168.92,171.18,522316.0,5644
2017-10-11 04:00:00,171.36,173.06,171.08,172.9,859053.0,7430
2017-10-12 04:00:00,172.06,174.89,171.95,173.61,1302029.0,8979
2017-10-13 04:00:00,176.57,176.8739,175.58,176.3,809522.0,6059
2017-10-16 04:00:00,175.81,176.6,175.41,176.59,743193.0,5162
2017-10-17 04:00:00,176.01,176.69,174.49,176.34,1055281.0,9856
2017-10-18 04:00:00,175.84,175.97,168.62,171.73,2715860.0,19746
2017-10-19 04:00:00,174.03,176.29,173.4194,176.02,1120103.0,10581
2017-10-20 04:00:00,176.01,176.22,174.69,175.22,1091296.0,7291
2017-10-23 04:00:00,177.95,179.28,177.29,178.07,1240673.0,9564
2017-10-24 04:00:00,177.805,178.49,177.25,178.43,614351.0,6379
2017-10-25 04:00:00,178.5,178.98,175.72,177.36,560151.0,6323
2017-10-26 04:00:00,177.53,178.54,176.87,177.82,428073.0,5482
2017-10-27 04:00:00,178.25,179.26,177.13,178.93,703837.0,6459
2017-10-30 04:00:00,178.29,178.84,177.29,177.93,1268261.0,5994
2017-10-31 04:00:00,179.66,180.965,179.63,180.75,526466.0,5614
2017-11-01 04:00:00,182.68,182.98,179.54,181.4,942043.0,9283
2017-11-02 04:00:00,181.34,182.44,180.89,182.25,553712.0,6569
2017-11-03 04:00:00,183.55,184.65,182.585,184.58,470231.0,5906
2017-11-06 05:00:00,183.98,185.39,182.93,184.92,503206.0,7035
2017-11-07 05:00:00,183.12,183.98,183.07,183.52,611828.0,5875
2017-11-08 05:00:00,182.05,182.79,181.17,181.51,677197.0,6243
2017-11-09 05:00:00,178.48,178.98,176.221,178.01,685139.0,8221
2017-11-10 05:00:00,178.71,179.7,178.19,179.6,692084.0,6167
